freq, current
368.009999999999990905 MHz,0.00851928242876354679 - j0.08564657069893633068 
369.009999999999990905 MHz,0.00847362060960931730 - j0.08541899707475390791 
370.009999999999990905 MHz,0.00842832372636151059 - j0.08519261742778970470 
371.009999999999990905 MHz,0.00838338791320478692 - j0.08496742248492161753 
372.009999999999990905 MHz,0.00833880935520920491 - j0.08474340306772903952 
373.009999999999990905 MHz,0.00829458428753019478 - j0.08452055009130107766 
374.009999999999990905 MHz,0.00825070899462623450 - j0.08429885456306406011 
375.009999999999990905 MHz,0.00820717980948729338 - j0.08407830758162516960 
376.009999999999990905 MHz,0.00816399311287847006 - j0.08385890033563350721 
377.009999999999990905 MHz,0.00812114533259780669 - j0.08364062410265847569 
378.009999999999990905 MHz,0.00807863294274832264 - j0.08342347024808365041 
379.009999999999990905 MHz,0.00803645246301969846 - j0.08320743022401788647 
380.009999999999990905 MHz,0.00799460045798640329 - j0.08299249556822167750 
381.009999999999990905 MHz,0.00795307353641684471 - j0.08277865790305001525 
382.009999999999990905 MHz,0.00791186835059522198 - j0.08256590893440926560 
383.009999999999990905 MHz,0.00787098159565511810 - j0.08235424045073115595 
384.009999999999990905 MHz,0.00783041000892487418 - j0.08214364432195984944 
